,Item,Old Price,Pick Up Notes,Sale Price,Store
58,20-Oz Contigo Autospout Ashland Stainless Steel Water Bottle (Scuba) $10.50,$20,,"$10.50
                                                                                  $20",slickdeals.net
59,20-Oz Contigo Autospout Ashland Stainless Steel Water Bottle (Scuba) $10.50,$20,,"$10.50
                                                                                  $20",slickdeals.net
60,12oz Blue Buffalo Kitty Cravings Crunchy Cat Treats (Tuna) $4.75 &amp; More w/ S&amp;S ,$7, Free S&amp;H,"$4.75
                                                                                  $7",slickdeals.net
61,12oz Blue Buffalo Kitty Cravings Crunchy Cat Treats (Tuna) $4.75 &amp; More w/ S&amp;S ,$7, Free S&amp;H,"$4.75
                                                                                  $7",slickdeals.net
62,12oz Blue Buffalo Kitty Cravings Crunchy Cat Treats (Tuna) $4.75 &amp; More w/ S&amp;S ,$7, Free S&amp;H,"$4.75
                                                                                  $7",slickdeals.net
63,12oz Blue Buffalo Kitty Cravings Crunchy Cat Treats (Tuna) $4.75 &amp; More w/ S&amp;S ,$7, Free S&amp;H,"$4.75
                                                                                  $7",slickdeals.net
64,Brother P-Touch PT-M95 Portable Label Maker $10 ,$25, Free Shipping,"$10
                                                                                  $25",slickdeals.net
65,Brother P-Touch PT-M95 Portable Label Maker $10 ,$25, Free Shipping,"$10
                                                                                  $25",slickdeals.net
66,Brother P-Touch PT-M95 Portable Label Maker $10 ,$25, Free Shipping,"$10
                                                                                  $25",slickdeals.net
67,Brother P-Touch PT-M95 Portable Label Maker $10 ,$25, Free Shipping,"$10
                                                                                  $25",slickdeals.net
68,"JBL 308P MkII 8"" Powered Monitor Speaker (Single) $129 ",$249, Free Shipping,"$129
                                                                                  $249",slickdeals.net
69,"JBL 308P MkII 8"" Powered Monitor Speaker (Single) $129 ",$249, Free Shipping,"$129
                                                                                  $249",slickdeals.net
70,"JBL 308P MkII 8"" Powered Monitor Speaker (Single) $129 ",$249, Free Shipping,"$129
                                                                                  $249",slickdeals.net
71,"JBL 308P MkII 8"" Powered Monitor Speaker (Single) $129 ",$249, Free Shipping,"$129
                                                                                  $249",slickdeals.net
72,100-Count Nature’s Miracle Deodorizing Bath Wipes For Dogs (Honey Sage) $3.65 &amp; More w/ S&amp;S ,$12, Free S&amp;H,"$3.65
                                                                                  $12",slickdeals.net
73,100-Count Nature’s Miracle Deodorizing Bath Wipes For Dogs (Honey Sage) $3.65 &amp; More w/ S&amp;S ,$12, Free S&amp;H,"$3.65
                                                                                  $12",slickdeals.net
74,100-Count Nature’s Miracle Deodorizing Bath Wipes For Dogs (Honey Sage) $3.65 &amp; More w/ S&amp;S ,$12, Free S&amp;H,"$3.65
                                                                                  $12",slickdeals.net
75,100-Count Nature’s Miracle Deodorizing Bath Wipes For Dogs (Honey Sage) $3.65 &amp; More w/ S&amp;S ,$12, Free S&amp;H,"$3.65
                                                                                  $12",slickdeals.net
76,6-Pack Nordic Pure 20x25x1 MERV 12 Pleated AC Furnace Air Filters $23.90,$28,,"$23.90
                                                                                  $28",slickdeals.net
77,6-Pack Nordic Pure 20x25x1 MERV 12 Pleated AC Furnace Air Filters $23.90,$28,,"$23.90
                                                                                  $28",slickdeals.net
78,6-Pack Nordic Pure 20x25x1 MERV 12 Pleated AC Furnace Air Filters $23.90,$28,,"$23.90
                                                                                  $28",slickdeals.net
79,6-Pack Nordic Pure 20x25x1 MERV 12 Pleated AC Furnace Air Filters $23.90,$28,,"$23.90
                                                                                  $28",slickdeals.net
80,"Gap Extra 50% Off Markdowns: Men's Vintage Henley Tee $7.49, Marled Henley $6 ",$40, Free S&amp;H Orders $50,"$6
                                                                                  $40",slickdeals.net
81,"Gap Extra 50% Off Markdowns: Men's Vintage Henley Tee $7.49, Marled Henley $6 ",$40, Free S&amp;H Orders $50,"$6
                                                                                  $40",slickdeals.net
82,"Gap Extra 50% Off Markdowns: Men's Vintage Henley Tee $7.49, Marled Henley $6 ",$40, Free S&amp;H Orders $50,"$6
                                                                                  $40",slickdeals.net
83,"Gap Extra 50% Off Markdowns: Men's Vintage Henley Tee $7.49, Marled Henley $6 ",$40, Free S&amp;H Orders $50,"$6
                                                                                  $40",slickdeals.net
84,Skip Hop Toddler Backpack: Dinosaur or Unicorn $10 each,$22,,$10 each,slickdeals.net
85,Skip Hop Toddler Backpack: Dinosaur or Unicorn $10 each,$22,,$10 each,slickdeals.net
86,Skip Hop Toddler Backpack: Dinosaur or Unicorn $10 each,$22,,$10 each,slickdeals.net
87,Skip Hop Toddler Backpack: Dinosaur or Unicorn $10 each,$22,,$10 each,slickdeals.net
88,Just Dance 2020 (Nintendo Switch) $18 ,$40, Free Store Pickup,"$18
                                                                                  $40",slickdeals.net
89,Just Dance 2020 (Nintendo Switch) $18 ,$40, Free Store Pickup,"$18
                                                                                  $40",slickdeals.net
90,Just Dance 2020 (Nintendo Switch) $18 ,$40, Free Store Pickup,"$18
                                                                                  $40",slickdeals.net
91,Just Dance 2020 (Nintendo Switch) $18 ,$40, Free Store Pickup,"$18
                                                                                  $40",slickdeals.net
92,3-Count 36oz Similac Pro-Advance Non-GMO Infant Formula w/ Iron $71.30 w/ S&amp;S &amp; More ,$130, Free S/H,"$71.30
                                                                                  $130",slickdeals.net
93,3-Count 36oz Similac Pro-Advance Non-GMO Infant Formula w/ Iron $71.30 w/ S&amp;S &amp; More ,$130, Free S/H,"$71.30
                                                                                  $130",slickdeals.net
94,3-Count 36oz Similac Pro-Advance Non-GMO Infant Formula w/ Iron $71.30 w/ S&amp;S &amp; More ,$130, Free S/H,"$71.30
                                                                                  $130",slickdeals.net
95,3-Count 36oz Similac Pro-Advance Non-GMO Infant Formula w/ Iron $71.30 w/ S&amp;S &amp; More ,$130, Free S/H,"$71.30
                                                                                  $130",slickdeals.net
96,"Lenovo ThinkCentre M75q Tiny Desktop: Ryzen 5 Pro 3400GE, 32GB DDR4, 512GB SSD $451.55 ",$821, Free Shipping,"$451.55
                                                                                  $821",slickdeals.net
97,"Lenovo ThinkCentre M75q Tiny Desktop: Ryzen 5 Pro 3400GE, 32GB DDR4, 512GB SSD $451.55 ",$821, Free Shipping,"$451.55
                                                                                  $821",slickdeals.net
98,"Lenovo ThinkCentre M75q Tiny Desktop: Ryzen 5 Pro 3400GE, 32GB DDR4, 512GB SSD $451.55 ",$821, Free Shipping,"$451.55
                                                                                  $821",slickdeals.net
99,"Lenovo ThinkCentre M75q Tiny Desktop: Ryzen 5 Pro 3400GE, 32GB DDR4, 512GB SSD $451.55 ",$821, Free Shipping,"$451.55
                                                                                  $821",slickdeals.net
100,"Magazines: Wired & Popular Science Bundle $7.75/yr, Outdoor Photographer $4/yr &amp; More",$30,,$4/yr,slickdeals.net
101,"Magazines: Wired & Popular Science Bundle $7.75/yr, Outdoor Photographer $4/yr &amp; More",$30,,$4/yr,slickdeals.net
102,"Magazines: Wired & Popular Science Bundle $7.75/yr, Outdoor Photographer $4/yr &amp; More",$30,,$4/yr,slickdeals.net
103,"Magazines: Wired & Popular Science Bundle $7.75/yr, Outdoor Photographer $4/yr &amp; More",$30,,$4/yr,slickdeals.net
104,1TB Xbox One X Console Star Wars Jedi: Fallen Order Console Bundle $300 ,$500, Free Shipping,"$300
                                                                                  $500",slickdeals.net
105,1TB Xbox One X Console Star Wars Jedi: Fallen Order Console Bundle $300 ,$500, Free Shipping,"$300
                                                                                  $500",slickdeals.net
106,1TB Xbox One X Console Star Wars Jedi: Fallen Order Console Bundle $300 ,$500, Free Shipping,"$300
                                                                                  $500",slickdeals.net
107,1TB Xbox One X Console Star Wars Jedi: Fallen Order Console Bundle $300 ,$500, Free Shipping,"$300
                                                                                  $500",slickdeals.net
108,Star Wars Men's Graphic Tees (Various Styles) From $2.40 ,$20, Free Store Pickup on $25,From $2.40,slickdeals.net
109,Star Wars Men's Graphic Tees (Various Styles) From $2.40 ,$20, Free Store Pickup on $25,From $2.40,slickdeals.net
110,Star Wars Men's Graphic Tees (Various Styles) From $2.40 ,$20, Free Store Pickup on $25,From $2.40,slickdeals.net
111,Star Wars Men's Graphic Tees (Various Styles) From $2.40 ,$20, Free Store Pickup on $25,From $2.40,slickdeals.net
112,Dyson Cyclone V10 Absolute Vacuum Cleaner with Free Tools $400 ,$600, Free Shipping,"$400
                                                                                  $600",slickdeals.net
113,Dyson Cyclone V10 Absolute Vacuum Cleaner with Free Tools $400 ,$600, Free Shipping,"$400
                                                                                  $600",slickdeals.net
114,Dyson Cyclone V10 Absolute Vacuum Cleaner with Free Tools $400 ,$600, Free Shipping,"$400
                                                                                  $600",slickdeals.net
115,Dyson Cyclone V10 Absolute Vacuum Cleaner with Free Tools $400 ,$600, Free Shipping,"$400
                                                                                  $600",slickdeals.net
116,Star Wars Men's Graphic Tees (Various Styles) From $2.40 ,$20, Free Store Pickup on $25,From $2.40,slickdeals.net
117,Star Wars Men's Graphic Tees (Various Styles) From $2.40 ,$20, Free Store Pickup on $25,From $2.40,slickdeals.net
118,Star Wars Men's Graphic Tees (Various Styles) From $2.40 ,$20, Free Store Pickup on $25,From $2.40,slickdeals.net
119,Star Wars Men's Graphic Tees (Various Styles) From $2.40 ,$20, Free Store Pickup on $25,From $2.40,slickdeals.net
120,Star Wars Men's Graphic Tees (Various Styles) From $2.40 ,$20, Free Store Pickup on $25,From $2.40,slickdeals.net
121,Star Wars Men's Graphic Tees (Various Styles) From $2.40 ,$20, Free Store Pickup on $25,From $2.40,slickdeals.net
122,Star Wars Men's Graphic Tees (Various Styles) From $2.40 ,$20, Free Store Pickup on $25,From $2.40,slickdeals.net
123,Star Wars Men's Graphic Tees (Various Styles) From $2.40 ,$20, Free Store Pickup on $25,From $2.40,slickdeals.net
124,Dyson Cyclone V10 Absolute Vacuum Cleaner with Free Tools $400 ,$600, Free Shipping,"$400
                                                                                                                            $600",slickdeals.net
125,Dyson Cyclone V10 Absolute Vacuum Cleaner with Free Tools $400 ,$600, Free Shipping,"$400
                                                                                                                            $600",slickdeals.net
126,Dyson Cyclone V10 Absolute Vacuum Cleaner with Free Tools $400 ,$600, Free Shipping,"$400
                                                                                                                            $600",slickdeals.net
127,Dyson Cyclone V10 Absolute Vacuum Cleaner with Free Tools $400 ,$600, Free Shipping,"$400
                                                                                                                            $600",slickdeals.net
128,"JOE Joseph Abboud Dye Stripe Slim Fit Sweater (Navy or Black, Limited Sizes) $10 ",$80, Free Shipping,"$10
                                                                                  $80",slickdeals.net
129,"JOE Joseph Abboud Dye Stripe Slim Fit Sweater (Navy or Black, Limited Sizes) $10 ",$80, Free Shipping,"$10
                                                                                  $80",slickdeals.net
130,"JOE Joseph Abboud Dye Stripe Slim Fit Sweater (Navy or Black, Limited Sizes) $10 ",$80, Free Shipping,"$10
                                                                                  $80",slickdeals.net
131,"JOE Joseph Abboud Dye Stripe Slim Fit Sweater (Navy or Black, Limited Sizes) $10 ",$80, Free Shipping,"$10
                                                                                  $80",slickdeals.net
132,Tom Clancy’s The Division 2 Dark Zone Definitive Collector’s Bundle (No Game) $10 ,$70, Free Shipping,"$10
                                                                                                                            $70",slickdeals.net
133,Tom Clancy’s The Division 2 Dark Zone Definitive Collector’s Bundle (No Game) $10 ,$70, Free Shipping,"$10
                                                                                                                            $70",slickdeals.net
134,Tom Clancy’s The Division 2 Dark Zone Definitive Collector’s Bundle (No Game) $10 ,$70, Free Shipping,"$10
                                                                                                                            $70",slickdeals.net
135,Tom Clancy’s The Division 2 Dark Zone Definitive Collector’s Bundle (No Game) $10 ,$70, Free Shipping,"$10
                                                                                                                            $70",slickdeals.net
136,The Witcher 3: Wild Hunt: Game of the Year (PC Digital Download) $15,$50,,"$15
                                                                                                                            $50",slickdeals.net
137,The Witcher 3: Wild Hunt: Game of the Year (PC Digital Download) $15,$50,,"$15
                                                                                                                            $50",slickdeals.net
138,The Witcher 3: Wild Hunt: Game of the Year (PC Digital Download) $15,$50,,"$15
                                                                                                                            $50",slickdeals.net
139,The Witcher 3: Wild Hunt: Game of the Year (PC Digital Download) $15,$50,,"$15
                                                                                                                            $50",slickdeals.net
140,Roku Streaming Stick,$59, 4K HDR $39 ,"$39
                                                                                                                            $59",slickdeals.net
141,Roku Streaming Stick,$59, 4K HDR $39 ,"$39
                                                                                                                            $59",slickdeals.net
142,Roku Streaming Stick,$59, 4K HDR $39 ,"$39
                                                                                                                            $59",slickdeals.net
143,Roku Streaming Stick,$59, 4K HDR $39 ,"$39
                                                                                                                            $59",slickdeals.net
144,"Magellan Outdoors Women's Camp Slippers (Gray, M or L) $2.50 ",$20, Free S/H Orders $25,"$2.50
                                                                                  $20",slickdeals.net
145,"Magellan Outdoors Women's Camp Slippers (Gray, M or L) $2.50 ",$20, Free S/H Orders $25,"$2.50
                                                                                  $20",slickdeals.net
146,"Magellan Outdoors Women's Camp Slippers (Gray, M or L) $2.50 ",$20, Free S/H Orders $25,"$2.50
                                                                                  $20",slickdeals.net
147,"Magellan Outdoors Women's Camp Slippers (Gray, M or L) $2.50 ",$20, Free S/H Orders $25,"$2.50
                                                                                  $20",slickdeals.net
148,Netgear 8-Port Gigabit Ethernet Smart Managed Plus Switch $15,$20,,"$15
                                                                                                                            $20",slickdeals.net
149,Netgear 8-Port Gigabit Ethernet Smart Managed Plus Switch $15,$20,,"$15
                                                                                                                            $20",slickdeals.net
150,Netgear 8-Port Gigabit Ethernet Smart Managed Plus Switch $15,$20,,"$15
                                                                                                                            $20",slickdeals.net
151,Netgear 8-Port Gigabit Ethernet Smart Managed Plus Switch $15,$20,,"$15
                                                                                                                            $20",slickdeals.net
152,Screencheat: Unplugged (Nintendo Switch Digital Download) $2.60,$13,,"$2.60
                                                                                                                            $13",slickdeals.net
153,Screencheat: Unplugged (Nintendo Switch Digital Download) $2.60,$13,,"$2.60
                                                                                                                            $13",slickdeals.net
154,Screencheat: Unplugged (Nintendo Switch Digital Download) $2.60,$13,,"$2.60
                                                                                                                            $13",slickdeals.net
155,Screencheat: Unplugged (Nintendo Switch Digital Download) $2.60,$13,,"$2.60
                                                                                                                            $13",slickdeals.net
156,Celeste or TowerFall (Nintendo Switch Digital Download) $6.80,$20,,"$6.80
                                                                                                                            $20",slickdeals.net
157,Celeste or TowerFall (Nintendo Switch Digital Download) $6.80,$20,,"$6.80
                                                                                                                            $20",slickdeals.net
158,Celeste or TowerFall (Nintendo Switch Digital Download) $6.80,$20,,"$6.80
                                                                                                                            $20",slickdeals.net
159,Celeste or TowerFall (Nintendo Switch Digital Download) $6.80,$20,,"$6.80
                                                                                                                            $20",slickdeals.net
160,"Husky Pneumatic 2-in-1 18 Gauge 2"" Brad Nailer & 1/4"" Narrow Crown Stapler $20 ",$29, Free Store Pickup,"$20
                                                                                                                            $29",slickdeals.net
161,"Husky Pneumatic 2-in-1 18 Gauge 2"" Brad Nailer & 1/4"" Narrow Crown Stapler $20 ",$29, Free Store Pickup,"$20
                                                                                                                            $29",slickdeals.net
162,"Husky Pneumatic 2-in-1 18 Gauge 2"" Brad Nailer & 1/4"" Narrow Crown Stapler $20 ",$29, Free Store Pickup,"$20
                                                                                                                            $29",slickdeals.net
163,"Husky Pneumatic 2-in-1 18 Gauge 2"" Brad Nailer & 1/4"" Narrow Crown Stapler $20 ",$29, Free Store Pickup,"$20
                                                                                                                            $29",slickdeals.net
164,120-Count Carefree Acti-Fresh Feminine Protection Daily Liners (Regular) $3.55 w/ S&amp;S ,$7, Free S/H,"$3.55
                                                                                                                            $7",slickdeals.net
165,120-Count Carefree Acti-Fresh Feminine Protection Daily Liners (Regular) $3.55 w/ S&amp;S ,$7, Free S/H,"$3.55
                                                                                                                            $7",slickdeals.net
166,120-Count Carefree Acti-Fresh Feminine Protection Daily Liners (Regular) $3.55 w/ S&amp;S ,$7, Free S/H,"$3.55
                                                                                                                            $7",slickdeals.net
167,120-Count Carefree Acti-Fresh Feminine Protection Daily Liners (Regular) $3.55 w/ S&amp;S ,$7, Free S/H,"$3.55
                                                                                                                            $7",slickdeals.net
168,3-Month Xbox Live Gold Membership (Digital Code) $13,$25,,"$13
                                                                                                                            $25",slickdeals.net
169,3-Month Xbox Live Gold Membership (Digital Code) $13,$25,,"$13
                                                                                                                            $25",slickdeals.net
170,3-Month Xbox Live Gold Membership (Digital Code) $13,$25,,"$13
                                                                                                                            $25",slickdeals.net
171,3-Month Xbox Live Gold Membership (Digital Code) $13,$25,,"$13
                                                                                                                            $25",slickdeals.net
172,"13"" Marvel Avengers: Endgame Shield Blast Captain America Figure $12 ",$30, Free Store Pickup,"$12
                                                                                  $30",slickdeals.net
173,"13"" Marvel Avengers: Endgame Shield Blast Captain America Figure $12 ",$30, Free Store Pickup,"$12
                                                                                  $30",slickdeals.net
174,"13"" Marvel Avengers: Endgame Shield Blast Captain America Figure $12 ",$30, Free Store Pickup,"$12
                                                                                  $30",slickdeals.net
175,"13"" Marvel Avengers: Endgame Shield Blast Captain America Figure $12 ",$30, Free Store Pickup,"$12
                                                                                  $30",slickdeals.net
176,Sprint: 64GB Google Pixel 3 XL Smartphone (Just Black or Clearly White) $300 (Activation Req.) ,$929, Free S&amp;H,"$300
                                                                                                                            $929",slickdeals.net
177,Sprint: 64GB Google Pixel 3 XL Smartphone (Just Black or Clearly White) $300 (Activation Req.) ,$929, Free S&amp;H,"$300
                                                                                                                            $929",slickdeals.net
178,Sprint: 64GB Google Pixel 3 XL Smartphone (Just Black or Clearly White) $300 (Activation Req.) ,$929, Free S&amp;H,"$300
                                                                                                                            $929",slickdeals.net
179,Sprint: 64GB Google Pixel 3 XL Smartphone (Just Black or Clearly White) $300 (Activation Req.) ,$929, Free S&amp;H,"$300
                                                                                                                            $929",slickdeals.net
180,Smith Optics Sale ,$60," Extra 40% Off: Snow Goggles from $51, Snow Helmets from $36 ",from $36,slickdeals.net
181,Smith Optics Sale ,$60," Extra 40% Off: Snow Goggles from $51, Snow Helmets from $36 ",from $36,slickdeals.net
182,Smith Optics Sale ,$60," Extra 40% Off: Snow Goggles from $51, Snow Helmets from $36 ",from $36,slickdeals.net
183,Smith Optics Sale ,$60," Extra 40% Off: Snow Goggles from $51, Snow Helmets from $36 ",from $36,slickdeals.net
184,"20"" x 32"" Hotel Collection Turkish Tub Mat (Blueberry) $6.40 &amp; More ",$60, Free Store Pickup,"$6.40
                                                                                  $60",slickdeals.net
185,"20"" x 32"" Hotel Collection Turkish Tub Mat (Blueberry) $6.40 &amp; More ",$60, Free Store Pickup,"$6.40
                                                                                  $60",slickdeals.net
186,"20"" x 32"" Hotel Collection Turkish Tub Mat (Blueberry) $6.40 &amp; More ",$60, Free Store Pickup,"$6.40
                                                                                  $60",slickdeals.net
187,"20"" x 32"" Hotel Collection Turkish Tub Mat (Blueberry) $6.40 &amp; More ",$60, Free Store Pickup,"$6.40
                                                                                  $60",slickdeals.net
188,Reebok Men's & Women's Speed TR Flexweave Training Shoes (various colors) $37 ,$100, Free Shipping,"$37
                                                                                                                            $100",slickdeals.net
189,Reebok Men's & Women's Speed TR Flexweave Training Shoes (various colors) $37 ,$100, Free Shipping,"$37
                                                                                                                            $100",slickdeals.net
190,Reebok Men's & Women's Speed TR Flexweave Training Shoes (various colors) $37 ,$100, Free Shipping,"$37
                                                                                                                            $100",slickdeals.net
